               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10688,            0.020433,            0.053027,          0.00043168,                 0.3,          0.00055987,          9.7594e-05,             0.10715,            0.013236,            0.052213,              0.0937,              0.0007,              0.0007
                   1,             0.10063,            0.021548,            0.052707,          0.00038525,             0.26667,          0.00056475,          9.9247e-05,            0.099148,            0.014138,            0.052148,            0.086495,            0.001495,            0.001495
                   2,            0.092159,            0.023654,             0.05289,          0.00084328,             0.43333,           0.0014955,          0.00036946,            0.094329,            0.014576,            0.052121,            0.079285,           0.0022848,           0.0022848
                   3,            0.087647,            0.023652,            0.052568,          0.00030713,             0.26667,          0.00060341,          0.00013956,            0.089854,            0.014859,            0.052066,            0.072069,           0.0030693,           0.0030693
                   4,            0.081645,            0.028313,            0.052753,          0.00029858,             0.26667,          0.00037799,          8.9344e-05,            0.085259,            0.015371,            0.052002,            0.064849,           0.0038485,           0.0038485
                   5,            0.079243,            0.026329,            0.052512,          0.00037599,             0.33333,          0.00078038,          0.00012699,            0.080513,            0.015876,            0.051929,            0.057622,           0.0046225,           0.0046225
                   6,            0.076421,            0.026364,            0.052221,          0.00039523,             0.33333,           0.0010939,          0.00017477,            0.077273,            0.016171,            0.051846,            0.050391,           0.0053911,           0.0053911
                   7,            0.077046,            0.027089,            0.051928,          0.00027968,             0.23333,          0.00061728,           0.0001961,            0.074553,            0.016566,            0.051727,            0.043154,           0.0061545,           0.0061545
                   8,            0.071086,            0.027887,            0.052036,          0.00090259,             0.46667,            0.002134,          0.00053798,            0.070237,            0.017273,            0.051636,            0.035913,           0.0069126,           0.0069126
                   9,             0.07149,            0.027627,            0.051653,          0.00089208,             0.43333,           0.0041351,          0.00083203,             0.06841,            0.017452,            0.051508,            0.028665,           0.0076654,           0.0076654
                  10,            0.069394,            0.027012,            0.051567,           0.0033536,                 0.8,            0.013357,           0.0029368,            0.062527,            0.018283,            0.051334,            0.021413,           0.0084129,           0.0084129
                  11,            0.067527,            0.028586,            0.051344,           0.0034659,             0.96667,            0.060665,            0.012484,             0.05511,            0.018928,            0.051013,            0.014155,           0.0091552,           0.0091552
                  12,            0.068291,            0.027721,            0.051151,           0.0033833,                   1,            0.025928,           0.0065626,             0.05141,            0.018768,            0.050876,            0.009604,            0.009604,            0.009604
                  13,             0.06378,            0.028505,            0.050943,           0.0033693,                   1,            0.031672,             0.01146,            0.051467,            0.017768,            0.050491,            0.009604,            0.009604,            0.009604
                  14,            0.062942,            0.025534,            0.050561,           0.0033811,                   1,             0.17776,            0.063098,            0.046601,            0.017347,            0.050253,            0.009571,            0.009571,            0.009571
                  15,            0.062468,            0.026811,            0.050333,           0.0033834,                   1,             0.20433,            0.035254,            0.052322,            0.015323,            0.049338,            0.009538,            0.009538,            0.009538
                  16,            0.060398,            0.028545,            0.050116,           0.0034312,                   1,             0.18063,            0.042316,            0.054727,            0.014934,            0.048358,            0.009505,            0.009505,            0.009505
                  17,            0.061413,              0.0259,            0.049855,           0.0034736,                   1,             0.22025,            0.097798,            0.055122,            0.014262,            0.047589,            0.009472,            0.009472,            0.009472
                  18,            0.057454,            0.025866,              0.0491,           0.0034823,                   1,             0.20505,            0.070405,             0.04765,            0.014765,            0.046866,            0.009439,            0.009439,            0.009439
                  19,            0.056757,            0.022884,            0.048977,           0.0035294,                   1,             0.27122,            0.085802,             0.04556,             0.01521,            0.047305,            0.009406,            0.009406,            0.009406
                  20,            0.053136,            0.025806,            0.048767,           0.0036321,             0.96667,            0.022309,           0.0057019,            0.048429,            0.016679,            0.049933,            0.009373,            0.009373,            0.009373
                  21,            0.056211,            0.024245,            0.048119,           0.0037595,             0.86667,             0.11695,            0.017537,            0.051722,            0.016518,            0.049942,             0.00934,             0.00934,             0.00934
                  22,             0.05585,            0.025983,            0.048091,           0.0036754,             0.86667,             0.15822,            0.028036,            0.051295,            0.016233,            0.048907,            0.009307,            0.009307,            0.009307
                  23,            0.055515,            0.023135,            0.047721,           0.0041736,                   1,             0.23155,            0.072198,            0.045321,            0.015757,            0.046289,            0.009274,            0.009274,            0.009274
                  24,            0.052792,            0.025903,            0.046915,             0.31354,             0.31262,             0.27042,            0.081632,             0.04465,            0.013021,            0.042197,            0.009241,            0.009241,            0.009241
                  25,            0.049978,            0.023459,            0.046135,             0.16579,             0.47699,             0.39377,            0.095856,            0.045223,              0.0131,            0.040402,            0.009208,            0.009208,            0.009208
                  26,             0.05709,            0.022418,            0.046082,             0.58208,             0.38749,             0.30821,             0.10655,             0.05274,            0.012589,            0.039716,            0.009175,            0.009175,            0.009175
                  27,            0.050852,            0.025006,            0.045752,             0.24845,             0.63333,             0.54819,             0.20039,            0.041317,            0.012786,            0.036012,            0.009142,            0.009142,            0.009142
                  28,            0.048306,            0.022716,            0.043555,             0.26755,             0.74796,             0.54941,             0.18707,            0.042844,            0.012537,            0.034818,            0.009109,            0.009109,            0.009109
                  29,            0.050123,            0.020993,            0.043657,             0.26774,               0.746,             0.57907,             0.23042,            0.044607,            0.012421,            0.031682,            0.009076,            0.009076,            0.009076
                  30,            0.047439,            0.021986,            0.042388,             0.61909,             0.50581,              0.5458,             0.23903,             0.05029,            0.010973,            0.029507,            0.009043,            0.009043,            0.009043
                  31,            0.047651,            0.020078,            0.041213,             0.19953,             0.76667,             0.60254,             0.24752,            0.042768,            0.011661,            0.027969,             0.00901,             0.00901,             0.00901
                  32,            0.050312,            0.020755,            0.040245,             0.64374,             0.43333,             0.57166,             0.23691,            0.041485,            0.010713,            0.027296,            0.008977,            0.008977,            0.008977
                  33,            0.047648,            0.018826,            0.038891,             0.57024,             0.62546,             0.67213,             0.31974,            0.042358,            0.011061,            0.026163,            0.008944,            0.008944,            0.008944
                  34,             0.05012,            0.018744,            0.039229,             0.30032,             0.67915,             0.76024,             0.42588,            0.038621,            0.010305,            0.024831,            0.008911,            0.008911,            0.008911
